eqp_id;od_id;cycle_min;mov_id
CW-122;16 BAL - 11 GRADE;48;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;44;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;49;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;71;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;57;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;61;Producao Final Minerio
CW-122;23 FGS - 11 GRADE;78;Producao Final Minerio
CW-122;23 FGS - 11 GRADE;82;Producao Final Minerio
CW-122;23 FGS - 11 GRADE;89;Producao Final Minerio
CW-123;23 FGS - 11 GRADE;128;Producao Final Minerio
CW-123;23 FGS - 11 GRADE;70;Producao Final Minerio
CW-123;23 FGS - 11 GRADE;98;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;44;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;38;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;24;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;107;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;17;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;40;Producao Final Minerio
CW-107;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;67;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;56;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;39;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;47;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;25;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;60;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;63;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;42;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;88;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;39;Producao Final Minerio
CW-108;22 SER - 11 GRADE;61;Producao Final Minerio
CW-108;22 FGS - 11 GRADE;82;Producao Final Minerio
CW-109;16 BAL - 11 GRADE;46;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;62;Producao Final Minerio
