iter,T,accepted,kind,eqp_id,from,to,cand_obj,best_obj
186,0.014125375446227498,False,assign,K2,,A,0.76,0.95
187,0.013803842646028805,False,unassign,K1,A,,0.76,0.95
187,0.013803842646028805,False,assign,K2,,A,0.76,0.95
188,0.013489628825916493,True,noop,,,,,
189,0.01318256738556403,False,unassign,K1,A,,0.76,0.95
189,0.01318256738556403,False,assign,K2,,A,0.76,0.95
190,0.012882495516931299,True,noop,,,,,
191,0.012589254117941632,True,noop,,,,,
192,0.012302687708123776,True,noop,,,,,
193,0.01202264434617409,False,assign,K2,,A,0.858,0.95
194,0.011748975549395257,False,unassign,K1,A,,0.76,0.95
194,0.011748975549395257,False,assign,K2,,A,0.76,0.95
195,0.01148153621496879,True,noop,,,,,
196,0.011220184543019597,False,assign,K2,,A,0.858,0.95
197,0.010964781961431814,False,unassign,K1,A,,0.76,0.95
197,0.010964781961431814,False,assign,K2,,A,0.76,0.95
198,0.010715193052376028,False,unassign,K1,A,,0.76,0.95
198,0.010715193052376028,False,assign,K2,,A,0.76,0.95
199,0.010471285480508961,False,unassign,K1,A,,0.76,0.95
199,0.010471285480508961,False,assign,K2,,A,0.76,0.95
200,0.010232929922807507,True,noop,,,,,
